000718.SZ,20250219,20250224
000720.SZ,20250219,20250224
000723.SZ,20250212,20250217
000725.SZ,20250211,20250214
000726.SZ,20250219,20250224
000727.SZ,20250211,20250214
000729.SZ,20250217,20250220
000731.SZ,20250219,20250224
000751.SZ,20250219,20250224
000752.SZ,20250212,20250217
000755.SZ,20250217,20250220
000757.SZ,20250210,20250213
000758.SZ,20250207,20250212
000767.SZ,20250217,20250224
000776.SZ,20250210,20250213
000778.SZ,20250214,20250219
000789.SZ,20250219,20250224
000790.SZ,20250219,20250224
000791.SZ,20250213,20250218
000796.SZ,20250219,20250224
000797.SZ,20250219,20250224
000800.SZ,20250218,20250221
000802.SZ,20250219,20250224
000809.SZ,20250206,20250211
000820.SZ,20250219,20250224
000822.SZ,20250210,20250217
000825.SZ,20250211,20250218
000828.SZ,20250219,20250224
000830.SZ,20250219,20250224
000839.SZ,20250219,20250224
000848.SZ,20250219,20250224
000850.SZ,20250219,20250224
000863.SZ,20250219,20250224
000875.SZ,20250214,20250219
000877.SZ,20250212,20250217
000878.SZ,20250219,20250224
000881.SZ,20250217,20250220
000883.SZ,20250217,20250224
000885.SZ,20250210,20250213
000897.SZ,20250219,20250224
000898.SZ,20250217,20250224
000900.SZ,20250217,20250224
000906.SZ,20250219,20250224
000911.SZ,20250212,20250217
000927.SZ,20250219,20250224
000928.SZ,20250210,20250213
000930.SZ,20250211,20250214
000931.SZ,20250212,20250217
000932.SZ,20250217,20250220
000937.SZ,20250218,20250221
000950.SZ,20250210,20250213
000953.SZ,20250219,20250224
000955.SZ,20250212,20250217
000958.SZ,20250219,20250224
000959.SZ,20250217,20250224
000965.SZ,20250212,20250217
000966.SZ,20250219,20250224
000967.SZ,20250211,20250214
000968.SZ,20250217,20250224
000978.SZ,20250212,20250217
000980.SZ,20250219,20250224
000981.SZ,20250219,20250224
000983.SZ,20250213,20250218
000989.SZ,20250212,20250217
000990.SZ,20250219,20250224
000993.SZ,20250219,20250224
001203.SZ,20250211,20250214
001213.SZ,20250217,20250224
001217.SZ,20250210,20250213
001218.SZ,20250205,20250210
001227.SZ,20250217,20250224
001236.SZ,20250219,20250224
001239.SZ,20250207,20250212
001258.SZ,20250219,20250224
001286.SZ,20250219,20250224
001896.SZ,20250219,20250224
001914.SZ,20250210,20250213
002004.SZ,20250219,20250224
002005.SZ,20250127,20250211
002014.SZ,20250205,20250210
002015.SZ,20250212,20250217
002023.SZ,20250210,20250213
002024.SZ,20250214,20250221
002029.SZ,20250219,20250224
002035.SZ,20250211,20250214
002037.SZ,20250210,20250213
002040.SZ,20250219,20250224
002048.SZ,20250219,20250224
002060.SZ,20250219,20250224
002061.SZ,20250219,20250224
002062.SZ,20250218,20250221
002081.SZ,20250219,20250224
002083.SZ,20250217,20250224
002091.SZ,20250218,20250221
002092.SZ,20250218,20250224
002096.SZ,20250213,20250218
002097.SZ,20250210,20250213
002099.SZ,20250219,20250224
002100.SZ,20250219,20250224
002107.SZ,20250210,20250213
002108.SZ,20250219,20250224
002109.SZ,20250219,20250224
002110.SZ,20250218,20250221
002111.SZ,20250210,20250213
002114.SZ,20250217,20250224
002116.SZ,20250218,20250221
002121.SZ,20250210,20250213
002124.SZ,20250217,20250224
002128.SZ,20250207,20250212
002132.SZ,20250217,20250224
002136.SZ,20250214,20250219
002141.SZ,20250212,20250217
002148.SZ,20250210,20250213
