001269.SZ,20241226,20241230,20241231,20250103
001269.SZ,20250114,20250116,20250117,20250121
001277.SZ,20240927,20241008,20241009,20241011
001277.SZ,20250106,20250108,20250109,20250113
001277.SZ,20250207,20250211,20250212,20250214
001296.SZ,20241024,20241028,20241029,20241031
001296.SZ,20241118,20241120,20241121,20241125
001296.SZ,20241210,20241212,20241213,20241217
001296.SZ,20241224,20241226,20241227,20241231
001296.SZ,20250207,20250211,20250212,20250214
001298.SZ,20241107,20241111,20241112,20241114
001298.SZ,20241128,20241202,20241203,20241205
001298.SZ,20241210,20241212,20241213,20241217
001308.SZ,20240927,20241008,20241009,20241011
001308.SZ,20241107,20241111,20241112,20241114
001308.SZ,20241209,20241211,20241212,20241216
001317.SZ,20241212,20241216,20241217,20241219
001317.SZ,20241224,20241226,20241227,20241231
001317.SZ,20250116,20250120,20250121,20250123
001317.SZ,20250207,20250211,20250212,20250214
001336.SZ,20240927,20241008,20241009,20241011
001336.SZ,20241111,20241113,20241114,20241118
001336.SZ,20250110,20250114,20250115,20250117
001339.SZ,20241016,20241018,20241021,20241023
001339.SZ,20241226,20241230,20241231,20250103
001339.SZ,20250106,20250108,20250109,20250113
001379.SZ,20240927,20241008,20241009,20241011
001379.SZ,20241017,20241021,20241022,20241024
001379.SZ,20241115,20241119,20241120,20241122
002012.SZ,20240927,20241008,20241009,20241011
002012.SZ,20241108,20241112,20241113,20241115
002012.SZ,20250116,20250120,20250121,20250123
002012.SZ,20250206,20250210,20250211,20250213
002025.SZ,20240927,20241008,20241009,20241011
002025.SZ,20241018,20241022,20241023,20241025
002025.SZ,20241127,20241129,20241202,20241204
002035.SZ,20241025,20241029,20241030,20241101
002035.SZ,20241210,20241212,20241213,20241217
002035.SZ,20250211,20250213,20250214,20250218
002036.SZ,20241017,20241021,20241022,20241024
002036.SZ,20241108,20241112,20241113,20241115
002036.SZ,20241118,20241120,20241121,20241125
002038.SZ,20240927,20241008,20241009,20241011
002038.SZ,20241210,20241212,20241213,20241217
002038.SZ,20250206,20250210,20250211,20250213
002048.SZ,20240927,20241008,20241009,20241011
002048.SZ,20241119,20241121,20241122,20241126
002048.SZ,20250116,20250120,20250121,20250123
002054.SZ,20240927,20241008,20241009,20241011
002054.SZ,20241210,20241212,20241213,20241217
002054.SZ,20250206,20250210,20250211,20250213
002058.SZ,20241025,20241029,20241030,20241101
002058.SZ,20241119,20241121,20241122,20241126
002058.SZ,20250206,20250210,20250211,20250213
002065.SZ,20240927,20241008,20241009,20241011
002065.SZ,20241017,20241021,20241022,20241024
002065.SZ,20241202,20241204,20241205,20241209
002069.SZ,20241106,20241108,20241111,20241113
002069.SZ,20241211,20241213,20241216,20241218
002069.SZ,20250206,20250210,20250211,20250213
002077.SZ,20240927,20241008,20241009,20241011
002077.SZ,20241108,20241112,20241113,20241115
002077.SZ,20241220,20241224,20241225,20241227
002077.SZ,20250115,20250117,20250120,20250122
002079.SZ,20240927,20241008,20241009,20241011
002079.SZ,20241107,20241111,20241112,20241114
002079.SZ,20241119,20241121,20241122,20241126
002081.SZ,20240927,20241008,20241009,20241011
002081.SZ,20241105,20241107,20241108,20241112
002081.SZ,20241128,20241202,20241203,20241205
002095.SZ,20240927,20241008,20241009,20241011
